Alignment_EDC,TTP_EDC,AOI_EDC,LUM_EDC,Verification_EDC,Spectral_EDC
CreateTime,CreateTime,CreateTime,CreateTime,CreateTime,CreateTime
OPID,OPID,OPID,OPID,OPID,OPID
EQP_ID,EQP_ID,EQP_ID,EQP_ID,EQP_ID,EQP_ID
Model_No,Model_No,Model_No,Model_No,Model_No,Model_No
ABBR_No,ABBR_No,ABBR_No,ABBR_No,ABBR_No,ABBR_No
EQP_Recipe_ID,EQP_Recipe_ID,EQP_Recipe_ID,EQP_Recipe_ID,EQP_Recipe_ID,EQP_Recipe_ID
Align_X1,LED_TYPE,LED_TYPE,LED_TYPE,LED_TYPE,LED_TYPE
Align_Y1,Target_Carrier_ID,LED_Index_X,LED_Coordinate_X,LED_Coordinate_X,1st_LED_Coordinate_X
Align_Thi1,Target_Area_No,LED_Index_Y,LED_Index_I,LED_Index_I,1st_LED_Index_I
Align_X2,Shift X,Shift X,LED_Coordinate_Y,LED_Coordinate_Y,1st_LED_Coordinate_Y
Align_Y2,Shift Y,Shift Y,LED_Index_J,LED_Index_J,1st_LED_Index_J
Align_Thi2,Rotate,Rotate,Lighting_check,Defect_Type,Last_LED_Coordinate_X
Align_X3,Index X,photoname,Defect_Code,image name,Last_LED_Index_I
Align_Y3,Index Y,Defect Reciepe,LED_Luminance,LED_GL_Max,Last_LED_Coordinate_Y
Align_Thi3,Target_Carrier_ID,Target_Carrier_ID,CIE1931_Chromaticity_X,LED_GL_Min,Last_LED_Index_J
Align_X4,,,CIE1931_Chromaticity_Y,LED_CV_Min,LED_PeakWaveLength
Align_Y4,,,Target_Carrier_ID,LED_CV_Max,LED_Chromaticity
Align_Thi4,,,,LED_CV_Mean,LED_SpectralBandwidth
LED_TYPE,,,,Data_Percentage,Target_Carrier_ID
Target_Carrier_ID,,,,Gate_Percentage,
Offset_Align_X4,,,,Target_Carrier_ID,
Offset_Align_Y4,,,,,
Offset_Align_Thi4,,,,,
